County,Pharmacy Name,Address,City,Zip Code,County 1
Atlantic,ACME Markets of Ventnor City,5100 Wellington Ave.,Ventnor City,8406,Atlantic
Atlantic,Bellevue Drug Company,254 Bellevue Ave,Hammonton,8037,Atlantic
Atlantic,Bunting Family Pharmacy,"1337 New Rd., Unit A",Northfield,8225,Atlantic
Atlantic,Genoa Healthcare of Absecon,"312 E White Horse Pike, Room P",Absecon,8201,Atlantic
Atlantic,Medilink Rxcare,44 South White Horse Pike,Hammonton,8037,Atlantic
Atlantic,Sam's Club Pharmacy of Pleasantville,1025 Black Horse Pike,Pleasantville,8232,Atlantic
Atlantic,Sav-On Pharmacy of Mays Landing,4454 Black Horse Pike,Mays Landing,8330,Atlantic
Atlantic,Sav-On Pharmacy of Somers Point,212 New Rd.,Somers Point,8244,Atlantic
Atlantic,Shop Rite Pharmacy of Absecon,616 Whitehorse Pike,Absecon,8201,Atlantic
Atlantic,Shop Rite Pharmacy of Egg Harbor Twp,3003 English Creek Ave,Egg Harbor Twp,8234,Atlantic
Atlantic,Shop Rite Pharmacy of Galloway,401 South Pitney Road,Galloway,8205,Atlantic
Atlantic,Shop Rite Pharmacy of Hammonton,80 South Whitehorse Pike,Hammonton,8037,Atlantic
Atlantic,Shop Rite Pharmacy of Somers Point,23 Bethel Road,Somers Point,8244,Atlantic
Atlantic,Walgreens Pharmacy of Atlantic City,3218 Atlantic Ave,Atlantic City,8401,Atlantic
Atlantic,Walgreens Pharmacy of Egg Harbor Township,2247 Ocean Hghts. Ave.,Egg Harbor Township,8234,Atlantic
Atlantic,Walgreens Pharmacy of Pleasantville,505 W Black Horse Pike,Pleasantville,8232,Atlantic
Atlantic,Walmart Pharmacy of Egg Harbor Township,6801 Black Horse Pike,Egg Harbor Township,8234,Atlantic
Atlantic,Walmart Pharmacy of Hammonton,55 South White Horse Pike,Hammonton,8037,Atlantic
Atlantic,Walmart Pharmacy of Mays Landing,4620 Black Horse Pike,Mays Landing,8330,Atlantic
Atlantic,CVS Pharmacy of Egg Harbor (809),6815 Tilton Rd.,Egg Harbor Township,8234,Atlantic
Atlantic,CVS of Somers Point,191 New Road,Somers Point,8244,Atlantic
Bergen,ACME Markets of Allendale,45 De Mercurio Dr.,Allendale,7401,Bergen
Bergen,ACME Markets of Edgewater,481 River Rd.,Edgewater,7020,Bergen
Bergen,ACME Markets of Fort Lee,2160 Lemoine Ave.,Fort Lee,7024,Bergen
Bergen,ACME Markets of Mahwah,125 Franklin Tpke.,Mahwah,7430,Bergen
Bergen,ACME Markets of Midland Park,136 Lake Ave.,Midland Park,7432,Bergen
Bergen,ACME Markets of Saddle Brook,75 Mayhill St.,Saddle Brook,7663,Bergen
Bergen,Genoa Healthcare of Englewood,"93 W. Palisade Ave., Rm. 128",Englewood,7631,Bergen
Bergen,Genoa Healthcare of Hackensack,25 E. Salem St.,Hackensack,7601,Bergen
Bergen,Ho-Ho-Kus Pharmacy,622 N. Maple Ave.,Ho Ho Kus,7423,Bergen
Bergen,Invictus Pharmacy Dept.,"60 Essex St., Ste. 105",Rochelle Park,7662,Bergen
Bergen,Levy's Pharmacy Llc,299 Stuyvesant Ave,Lyndhurst,7071,Bergen
Bergen,Plymouth Park Pharmacy Inc,11- 12 Saddle River Rd,Fair Lawn,7410,Bergen
Bergen,Rite Aid Pharmacy of Bergenfield,Ten Portland Ave,Bergenfield,7621,Bergen
Bergen,Rite Aid Pharmacy of Hackensack,219 Essex St,Hackensack,7601,Bergen
Bergen,Rite Aid Pharmacy of Township Of Washington,265 Pascack Rd.,Township Of Washington,7676,Bergen
Bergen,Rite Aid Pharmacy of Waldwick,60 Franklin Turnpike,Waldwick,7463,Bergen
Bergen,Sicomac Pharmacy,300 Sicomac Ave.,Wyckoff,7481,Bergen
Bergen,Stop & Shop Pharmacy of Carlstadt,675 Paterson Ave,Carlstadt,7072,Bergen
Bergen,Stop & Shop Pharmacy of Dumont,20 Washington Ave,Dumont,7628,Bergen
Bergen,Stop & Shop Pharmacy of Franklin Lakes,816 Franklin Ave,Franklin Lakes,7417,Bergen
Bergen,Stop & Shop Pharmacy of Hackensack,380 West Pleasantview Ave,Hackensack,7601,Bergen
Bergen,Stop & Shop Pharmacy of Lyndhurst,425 Lewandowski St,Lyndhurst,7071,Bergen
Bergen,Stop & Shop Pharmacy of Ridgewood,175 Franklin Ave,Ridgewood,7450,Bergen
Bergen,Walgreens Pharmacy of Bergenfield,406 S. Washington Ave.,Bergenfield,7621,Bergen
Bergen,Walgreens Pharmacy of Carlstadt,637 Hoboken Rd.,Carlstadt,7072,Bergen
Bergen,Walgreens Pharmacy of Elmwood Park,100 Broadway,Elmwood Park,7407,Bergen
Bergen,Walgreens Pharmacy of Hillsdale,383 Washington Ave,Hillsdale,7642,Bergen
Bergen,Walgreens Pharmacy of Lodi,20 Arnot Street,Lodi,7644,Bergen
Bergen,Walgreens Pharmacy of No. Arlington,475 Ridge Rd.,No. Arlington,7031,Bergen
Bergen,Walgreens Pharmacy of Waldwick,72 Crescent Avenue,Waldwick,7463,Bergen
Bergen,Walmart Pharmacy of Garfield,174 Passaic St.,Garfield,7026,Bergen
Bergen,Walmart Pharmacy of Saddle Brook,189 Route 46 West,Saddle Brook,7663,Bergen
Bergen,Walmart Pharmacy of Teterboro,1 Teterboro Landing Dr.,Teterboro,7608,Bergen
Bergen,Wegmans Food Markets of Montvale,100 Farmview,Montvale,7645,Bergen
Bergen,CVS Pharmacy of Paramus (5300),1000 Bergen Town Center,Paramus,7652,Bergen
Burlington,Boyd's Pharmacy Of Mansfield,"23202 Columbus Rd., Ste E",Columbus,8022,Burlington
Burlington,Boyd's Pharmacy Of Medford,5-100 Wilkins Station Rd.,Medford,8055,Burlington
Burlington,Boyd's Pharmacy Of Pemberton,17 Fort Dix Rd.,Pemberton,8068,Burlington
Burlington,Healthvia Pharmacy,300 E. Greentree Rd.,Marlton,8053,Burlington
Burlington,Mast Pharmacy & Surgical,338 Farnsworth Ave.,Bordentown,8505,Burlington
Burlington,My Family Pharmacy,2005 Mount Holly Rd. Ste. 107,Burlington Township,8016,Burlington
Burlington,Palmyra Pharmacy,1 E. Broad St.,Palmyra,8065,Burlington
Burlington,Paramount Drug,54 E. Scott St,Riverside,8075,Burlington
Burlington,Power'S Pharmacy,558 Lakehurst Rd.,Browns Mills,8015,Burlington
Burlington,Rite Aid Pharmacy of Browns Mills,37 Juliustown Road,Browns Mills,8015,Burlington
Burlington,Rite Aid Pharmacy of Burlington,2093  Route  130  N,Burlington,8016,Burlington
Burlington,Rite Aid Pharmacy of Cinnaminson,1210  Route 130  N.  Ste  1408,Cinnaminson,8077,Burlington
Burlington,Rite Aid Pharmacy of Lumberton,1636 Route 38 Ste. 49,Lumberton,8048,Burlington
Burlington,Rite Aid Pharmacy of Marlton,235 North Maple Ave.,Marlton,8053,Burlington
Burlington,Rite Aid Pharmacy of Medford,"200 Tuckerton Rd, Bldg K",Medford,8055,Burlington
Burlington,Rite Aid Pharmacy of Medford,409 Stokes Road,Medford,8055,Burlington
Burlington,Rite Aid Pharmacy of Moorestown,121 West Main St,Moorestown,8057,Burlington
Burlington,Rite Aid Pharmacy of Willingboro,217 Sunset Road,Willingboro,8046,Burlington
Burlington,Rite Aid Pharmacy of Wrightstown,546 Wrightstown-Sykesville Rd,Wrightstown,8562,Burlington
Burlington,Sam's Club Pharmacy of Cinnaminson,2521 Route 130 South,Cinnaminson,8077,Burlington
Burlington,Sav-On Pharmacy of Bordentown,260 Dunns Mill Rd.,Bordentown,8505,Burlington
Burlington,Sav-On Pharmacy of Browns Mills,18 Broadway,Browns Mills,8015,Burlington
Burlington,Sav-On Pharmacy of Medford,175 Route 70,Medford,8055,Burlington
Burlington,Sav-On Pharmacy of Mt Holly,531 High St Fairgrounds Plaza,Mt Holly,8060,Burlington
Burlington,Sav-On Pharmacy of Willingboro,23 Veterans Parkway,Willingboro,8046,Burlington
Burlington,Shop Rite Pharmacy of Bordentown,622 Route 206,Bordentown,8505,Burlington
Burlington,Shop Rite Pharmacy of Burlington Township,1817 Mt. Holly Rd.,Burlington Township,8016,Burlington
Burlington,Shop Rite Pharmacy of Cinnaminson,"141 Rte. 130 South, Suite K",Cinnaminson,8077,Burlington
Burlington,Shop Rite Pharmacy of Hainesport,"1520 Route 38 East, Bldg. #20, Cross Roads Plaza",Hainesport,8036,Burlington
Burlington,Shop Rite Pharmacy of Marlton,307 West Route 70,Marlton,8053,Burlington
Burlington,Shop Rite Pharmacy of Medford,208 Route 70,Medford,8055,Burlington
Burlington,Shop Rite Pharmacy of Mount Laurel,892 Union Mill Road,Mount Laurel,8054,Burlington
Burlington,Shop Rite Pharmacy of Mount Laurel,127 Ark Road,Mount Laurel,8054,Burlington
Burlington,Smith Brothers Drug,25 W Main St,Maple Shade,8052,Burlington
Burlington,Walgreens Pharmacy of Willingboro,4296 Route 130,Willingboro,8046,Burlington
Burlington,Walmart Pharmacy of Burlington,2106 Mt. Holly Road,Burlington,8016,Burlington
Burlington,Walmart Pharmacy of Cinnaminson,2501 Route 130 South,Cinnaminson,8077,Burlington
Burlington,Walmart Pharmacy of Marlton,150 E Route 70,Marlton,8053,Burlington
Burlington,Stines Apothecary,1491 Route 38,Hainesport,8036,Burlington
Camden,Covered Bridge Pharmacy,1501 Rte. 70 E.,Cherry Hill,8034,Camden
Camden,Farmacia Sunray,2500 Federal St.,Camden,8105,Camden
Camden,Genoa Healthcare of Camden,"400 Market St., Ste. 200",Camden,8102,Camden
Camden,"Gus' Pharmacy, Llc D/B/A Kennedy Pharmacy",42 E. Laurel Rd #1900,Stratford,8084,Camden
Camden,"Medilink Rx Care, Llc",709 Haddonfield-Berlin Rd.,Voorhees,8043,Camden
Camden,Rite Aid Pharmacy of Atco,375 White Horse Pike,Atco,8004,Camden
Camden,Rite Aid Pharmacy of Barrington,501 Clements Bridge Road,Barrington,8007,Camden
Camden,Rite Aid Pharmacy of Berlin,186 S Whitehorse Pike,Berlin,8009,Camden
Camden,Rite Aid Pharmacy of Brooklawn,702 Browning Road,Brooklawn,8030,Camden
Camden,Rite Aid Pharmacy of Camden,2  South Broadway,Camden,8103,Camden
Camden,Rite Aid Pharmacy of Cherry Hill,823 Cooper Landing Road,Cherry Hill,8002,Camden
Camden,Rite Aid Pharmacy of Cherry Hill,1360 Brace Road,Cherry Hill,8034,Camden
Camden,Rite Aid Pharmacy of Clementon,1360 Blackwood Clementon,Clementon,8021,Camden
Camden,Rite Aid Pharmacy of Clementon,101 Whitehorse Pike,Clementon,8021,Camden
Camden,Rite Aid Pharmacy of Collingswood,664 Haddon Ave,Collingswood,8108,Camden
Camden,Rite Aid Pharmacy of Haddon Township,249 Cuthbert Blvd.,Haddon Township,8107,Camden
Camden,Rite Aid Pharmacy of Haddonfield,715 Haddon Ave,Haddonfield,8033,Camden
Camden,Rite Aid Pharmacy of Haddonfield,"423 W. Crystal Lake Ave., Ste. 7",Haddonfield,8033,Camden
Camden,Rite Aid Pharmacy of Laurel Springs,1492 Chews Landing,Laurel Springs,8021,Camden
Camden,Rite Aid Pharmacy of Pennsauken,4902 Westfield Ave,Pennsauken,8110,Camden
Camden,Rite Aid Pharmacy of Pennsauken,7835 Maple Ave,Pennsauken,8109,Camden
Camden,Rite Aid Pharmacy of Sicklerville,403 Sicklerville Road,Sicklerville,8081,Camden
Camden,Rite Aid Pharmacy of Sicklerville,2090 Erial Clementon Rd,Sicklerville,8081,Camden
Camden,Rite Aid Pharmacy of Somerdale,608 N Warwick Rd,Somerdale,8083,Camden
Camden,Rite Aid Pharmacy of Stratford,100 Warwick Road,Stratford,8084,Camden
Camden,Rite Aid Pharmacy of Voorhees,480 Centennial Blvd,Voorhees,8043,Camden
Camden,Rite Aid Pharmacy of Voorhees,111 Rte. 73,Voorhees,8043,Camden
Camden,Sav-On Pharmacy of Audubon,100 N. Blackhorse Pk.,Audubon,8106,Camden
Camden,Sav-On Pharmacy of Runnemede,501 E Evesham Rd,Runnemede,8078,Camden
Camden,Sav-On Pharmacy of Sicklerville,515 Berlin-Cross Keys Rd.,Sicklerville,8081,Camden
Camden,Sav-On Pharmacy of Voorhees,700 Haddonfield-Berlin Rd,Voorhees,8043,Camden
Camden,Shop Rite Pharmacy of Clementon,1224 Blackwd-Clementon Rd,Clementon,8021,Camden
Camden,Shop Rite of Laurel Springs,1200 Chews Landing Road,Laurel Springs,8021,Camden
Camden,Shop Rite Pharmacy of Lawnside,130 White Horse Pike,Lawnside,8045,Camden
Camden,Shop Rite Pharmacy of Sicklerville,542 Berlin-Cross Keys Road,Sicklerville,8081,Camden
Camden,Shop Rite Pharmacy of West Berlin,Route 73 & Minick Ave,West Berlin,8091,Camden
Camden,Walgreens Pharmacy of Cherry Hill,504 Kings Hwy N,Cherry Hill,8034,Camden
Camden,Walgreens Pharmacy of Glendora,1301 Black Horse Pike,Glendora,8029,Camden
Camden,Walgreens Pharmacy of Mount Ephraim,20 W. Kings Hwy.,Mount Ephraim,8059,Camden
Camden,Walgreens Pharmacy of Sicklerville,590 Cross Keys Road,Sicklerville,8081,Camden
Camden,Walmart Pharmacy of Audubon,130 Blackhorse Pike,Audubon,8106,Camden
Camden,Walmart Pharmacy of Cherry Hill,500 Route 38,Cherry Hill,8034,Camden
Camden,Walmart Pharmacy of Somerdale,1 Coopertowne Blvd.,Somerdale,8083,Camden
Camden,Walmart Pharmacy of Turnersville,3501 Route 42,Turnersville,8012,Camden
Camden,Walmart Pharmacy of West Berlin,265 North Route 73,West Berlin,8091,Camden
Camden,CVS Pharmacy of Mount Ephraim (477),24 South Black Horse Pike,Mount Ephraim,8059,Camden
Cape May,ACME Markets of Ocean City,800 W. Avenue,Ocean City,8226,Cape May
Cape May,Genoa Healthcare of Cape May Court House,"128 Crest Haven Rd., Ste. 100",Cape May Court House,8210,Cape May
Cape May,Sav-On Pharmacy of North Cape May,3845 Bayshore Road,North Cape May,8204,Cape May
Cape May,Sav-On Pharmacy of Ocean View,2087 Route 9 Ste 11,Ocean View,8230,Cape May
Cape May,Shop Rite Pharmacy of Marmora,4 W. Roosevelt Blvd.,Marmora,8223,Cape May
Cape May,Shop Rite Pharmacy of Rio Grande,1700 Route 47 S,Rio Grande,8242,Cape May
Cape May,Village Pharmacy,38 Tuckahoe Road,Marmora,8223,Cape May
Cape May,Walgreens Pharmacy of Wildwood,5000 Park Blvd.,Wildwood,8260,Cape May
Cape May,Walmart Pharmacy of Rio Grande,3159 Route 9 South.,Rio Grande,8242,Cape May
Cape May,CVS Pharmacy of Cape May (429),"11 Court House South Dennis Rd., Ste. 9",Cape May Court House,8210,Cape May
Cumberland,Cornerstone Pharmacy,2757 South Main Rd,Vineland,8360,Cumberland
Cumberland,Genoa Healthcare of Millville,2038 Carmel Rd Rm 26,Millville,8332,Cumberland
Cumberland,Health First Pharmacy,"1200 N High St., Ste. 6",Millville,8332,Cumberland
Cumberland,Hernando'S Hometown Pharmacy,741 E. Landis Ave.,Vineland,8360,Cumberland
Cumberland,Inspira Health Pharmacy - Vineland,1505 West Sherman Ave.,Vineland,8360,Cumberland
Cumberland,Rite Aid Pharmacy of Bridgeton,1070 North Pearl St,Bridgeton,8302,Cumberland
Cumberland,Rite Aid Pharmacy of Bridgeton,52 East Broad St,Bridgeton,8302,Cumberland
Cumberland,Rite Aid Pharmacy of Millville,907 North High St,Millville,8332,Cumberland
Cumberland,Rite Aid Pharmacy of Vineland,1889 S. Lincoln Ave.,Vineland,8361,Cumberland
Cumberland,Rite Aid Pharmacy of Vineland,7 West Landis Avenue,Vineland,8360,Cumberland
Cumberland,Rite Aid Pharmacy of Vineland,970 North Main Road,Vineland,8360,Cumberland
Cumberland,Rite Aid Pharmacy of Vineland,2791 S. Delsea Drive,Vineland,8360,Cumberland
Cumberland,Sav-On Pharmacy of Vineland,301 South Main Road,Vineland,8360,Cumberland
Cumberland,Shop Rite Pharmacy of Millville,2130   N.   2Nd Street,Millville,8332,Cumberland
Cumberland,Shop Rite Pharmacy of Upper Deerfield,1000 North Pearl Street,Upper Deerfield,8302,Cumberland
Cumberland,Shop Rite Pharmacy of Vineland,3600 E Landis Ave,Vineland,8361,Cumberland
Cumberland,Shop Rite Pharmacy of Vineland,1255 West Landis Avenue,Vineland,8360,Cumberland
Cumberland,Walgreens Pharmacy of Millville,1111 North High Street,Millville,8332,Cumberland
Cumberland,Walgreens Pharmacy of Vineland,1015 North Main Rd.,Vineland,8360,Cumberland
Cumberland,Walmart Pharmacy of Bridgeton,1130  Highway 77,Bridgeton,8302,Cumberland
Cumberland,Walmart Pharmacy of Millville,2291 No Second St,Millville,8332,Cumberland
Cumberland,Walmart Pharmacy of Vineland,1070 W. Landis Ave.,Vineland,8360,Cumberland
Cumberland,CVS Pharmacy of Millville (2207),1209 N High St,Millville,8332,Cumberland
Cumberland,Altruix,1111 Village Dr,Millville,8332,Cumberland
Essex,Angelo Pharmacy,492 Ferry St.,Newark,7105,Essex
Essex,Belleville Pharmacy,338 Washington Ave,Belleville,7109,Essex
Essex,Broadway Health Pharmacy,57 Broadway,Newark,7104,Essex
Essex,Coordinated Care Network Pharmacy,268 Martin Luther King Jr. Blvd.,Newark,7102,Essex
Essex,E & M Pharmacy,205 South Essex Avenue,Orange,7050,Essex
Essex,East Orange Pharmacy & Surgicals,"310 Central Ave.,  Suite 111",East Orange,7018,Essex
Essex,Fourth Avenue Pharmacy,329 Roseville Ave,Newark,7107,Essex
Essex,Garys Pharmacy,349 Franklin Ave,Nutley,7110,Essex
Essex,Giannotto'S Pharmacy,195 First Avenue,Newark,71072,Essex
Essex,Guardy'S Pharmacy,403-409 Bloomfield Ave.,Newark,7107,Essex
Essex,"Hemschem, Inc., D/B/A Campus Pharmacy",195 Central Ave.,Newark,7103,Essex
Essex,Kayes Drug Store,1069 Bergen Street,Newark,7112,Essex
Essex,Kings Pharmacy,33 Park Avenue,Newark,7104,Essex
Essex,Komishane'S Pharmacy,199 Stuyvesant Ave,Newark,7106,Essex
Essex,Leo Hopp Pharmacy,447 Orange St,Newark,7107,Essex
Essex,Liss Pharmacy,794 Mt Prospect Ave,Newark,7104,Essex
Essex,"Livingston Pharmacy (Rx Team, Inc.)",91 E. Mt. Pleasant Ave.,Livingston,7039,Essex
Essex,Lyons Pharmacy,"471 Lyons Ave., #79",Irvington,7111,Essex
Essex,Newark Pharmacy Llc,"635 Market St., Unit 1C",Newark,7105,Essex
Essex,Rite Aid Pharmacy of East Orange,543 Central Ave,East Orange,7018,Essex
Essex,Rite Aid Pharmacy of Irvington,35 Mill Road,Irvington,7111,Essex
Essex,Rite Aid Pharmacy of Newark,104  12Th Avenue,Newark,7107,Essex
Essex,Sanford Community Pharmacy Llc,1041 South Orange Avenue,Newark,7106,Essex
Essex,Serket Pharmacy,8 Church St.,Montclair,7042,Essex
Essex,Shop Rite Pharmacy of Bloomfield,1409 Broad Street,Bloomfield,7003,Essex
Essex,Shop Rite Pharmacy of East Orange,533 Main St.,East Orange,7018,Essex
Essex,Shop Rite Pharmacy of Livingston,483 S Livingston Ave,Livingston,7039,Essex
Essex,Shop Rite Pharmacy of Newark,206 Springfield Ave.,Newark,7103,Essex
Essex,Shop Rite Pharmacy of Nutley,437 Franklin Ave,Nutley,7110,Essex
Essex,Shop Rite Pharmacy of West Orange,1 Rooney Circle,West Orange,7052,Essex
Essex,Stop & Shop Pharmacy of Bloomfield,8 Franklin St,Bloomfield,7003,Essex
Essex,Stop & Shop Pharmacy of South Orange,407 Valley St.,South Orange,7079,Essex
Essex,"Vp Drugs, LLC",23 Court St.,Newark,7102,Essex
